,edad_rango,genero,lugar,arma,presunta_motivacion,fecha_muerte
1890,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-12
1891,65+,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-12
1892,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,VIOLENCIA COMUNITARIA,2025-03-12
1893,12–17,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-12
1894,18–29,m,PARQUES Y PLAZAS,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-12
1895,18–29,m,CENTROS DE REHABILITACIÓN SOCIAL,OTROS,DELINCUENCIA COMUN,2025-03-11
1896,30–44,m,VÍA PÚBLICA,ARMA BLANCA,DELINCUENCIA COMUN,2025-03-12
1897,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-12
1898,45–64,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-12
1899,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-13
1900,45–64,m,HACIENDAS,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-12
1901,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-13
1902,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-12
1903,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-12
1904,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-13
1905,,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-12
1906,18–29,f,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-12
1907,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-12
1908,18–29,m,VÍA PÚBLICA,OTROS,TERRORISMO,2025-03-13
1909,30–44,m,TERRENO BALDIO,ARMA CONTUNDENTE,VIOLENCIA COMUNITARIA,2025-03-13
1910,30–44,m,TERRENO BALDIO,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-13
1911,18–29,m,TERRENO BALDIO,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-13
1912,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-13
1913,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-13
1914,18–29,f,OTROS LOCALES COMERCIALES,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-13
1915,18–29,m,OTROS LOCALES COMERCIALES,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-13
1916,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-13
1917,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-13
1918,30–44,m,QUEBRADAS,ARMA BLANCA,DELINCUENCIA COMUN,2025-03-13
1919,,m,QUEBRADAS,OTROS,DELINCUENCIA COMUN,2025-03-13
1920,30–44,f,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-13
1921,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-14
1922,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-13
1923,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-13
1924,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-13
1925,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-13
1926,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-13
1927,0–11,m,CASA/VILLA,ARMA BLANCA,VIOLENCIA COMUNITARIA,2025-03-13
1928,45–64,m,CASA/VILLA,ARMA BLANCA,VIOLENCIA COMUNITARIA,2025-03-13
1929,30–44,m,QUEBRADAS,ARMA BLANCA,DELINCUENCIA COMUN,2025-03-13
1930,30–44,m,QUEBRADAS,ARMA BLANCA,DELINCUENCIA COMUN,2025-03-13
1931,30–44,m,CENTROS Y SUBCENTROS DE SALUD,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-14
1932,18–29,m,VÍA PÚBLICA,ARMA BLANCA,DELINCUENCIA COMUN,2025-03-12
1933,18–29,m,VÍA PÚBLICA,ARMA BLANCA,DELINCUENCIA COMUN,2025-03-12
1934,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-13
1935,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-14
1936,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-14
1937,12–17,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-14
1938,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-14
1939,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-14
1940,,m,VÍA PÚBLICA,ARMA BLANCA,DELINCUENCIA COMUN,2025-03-13
1941,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-13
1942,30–44,m,VÍA PÚBLICA,ARMA CONTUNDENTE,DELINCUENCIA COMUN,2025-03-13
1943,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-14
1944,45–64,m,GASOLINERAS,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-15
1945,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-14
1946,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-14
1947,18–29,f,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-14
1948,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-14
1949,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-14
1950,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-14
1951,30–44,m,RÍO,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-10
1952,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-14
1953,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-14
1954,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-14
1955,18–29,f,CASA/VILLA,ARMA BLANCA,VIOLENCIA INTRAFAMILIAR,2025-03-15
1956,18–29,f,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-13
1957,18–29,m,MAR,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-12
1958,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-15
1959,18–29,m,HACIENDAS,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-14
1960,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-15
1961,,m,QUEBRADAS,ARMA BLANCA,DELINCUENCIA COMUN,2025-03-06
1962,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-15
1963,18–29,f,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-15
1964,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-15
1965,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-15
1966,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-15
1967,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
1968,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
1969,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
1970,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
1971,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
1972,0–11,f,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-14
1973,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-14
1974,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-15
1975,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-15
1976,45–64,m,OTROS CENTROS DE DIVERSIÓN,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
1977,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-15
1978,30–44,m,OTROS CENTROS DE DIVERSIÓN,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
1979,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-15
1980,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-15
1981,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
1982,12–17,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-15
1983,18–29,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-15
1984,18–29,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-15
1985,65+,f,TRANSPORTE PRIVADO,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
1986,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-15
1987,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
1988,18–29,f,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
1989,30–44,m,TERRENO BALDIO,ARMA BLANCA,DELINCUENCIA COMUN,2025-03-16
1990,30–44,m,ESTADIOS,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
1991,45–64,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
1992,30–44,m,ESTADIOS,CONSTRICTORA,DELINCUENCIA COMUN,2025-03-16
1993,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
1994,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
1995,30–44,m,VÍA PÚBLICA,CONSTRICTORA,DELINCUENCIA COMUN,2025-03-16
1996,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
1997,30–44,m,"TIENDAS, MICROMERCADO, ABARROTES",ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
1998,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
1999,18–29,m,HOTELES,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
2000,30–44,m,HACIENDAS,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
2001,30–44,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
2002,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
2003,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
2004,18–29,m,VÍA PÚBLICA,ARMA BLANCA,DELINCUENCIA COMUN,2025-03-16
2005,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
2006,30–44,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
2007,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
2008,12–17,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
2009,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
2010,45–64,m,MECÁNICAS,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-17
2011,30–44,m,HACIENDAS,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-15
2012,30–44,m,TERRENO BALDIO,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
2013,18–29,m,QUEBRADAS,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-17
2014,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
2015,30–44,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
2016,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-17
2017,18–29,f,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
2018,18–29,m,TERRENO BALDIO,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-17
2019,30–44,m,INTERIOR DE VEHÍCULO PARTICULAR,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-17
2020,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
2021,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-17
2022,45–64,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-17
2023,45–64,f,CASA/VILLA,ARMA CONTUNDENTE,VIOLENCIA COMUNITARIA,2025-03-17
2024,18–29,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-17
2025,18–29,m,CASA/VILLA,ARMA BLANCA,DELINCUENCIA COMUN,2025-03-17
2026,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-17
2027,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-17
2028,18–29,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-18
2029,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-17
2030,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-17
2031,18–29,m,RESTAURANTE,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-17
2032,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-17
2033,30–44,m,FINCA,ARMA BLANCA,DELINCUENCIA COMUN,2025-03-17
2034,18–29,m,HOSPITALES,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
2035,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-18
2036,18–29,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-18
2037,30–44,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-17
2038,65+,m,CASA/VILLA,CONSTRICTORA,DELINCUENCIA COMUN,2025-03-17
2039,65+,m,TERRENO BALDIO,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-17
2040,18–29,m,VÍA PÚBLICA,CONSTRICTORA,DELINCUENCIA COMUN,2025-03-18
2041,30–44,m,SERVICIOS PÚBLICOS,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-18
2042,18–29,m,FINCA,ARMA CONTUNDENTE,VIOLENCIA COMUNITARIA,2025-03-17
2043,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-18
2044,18–29,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-19
2045,65+,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-18
2046,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-18
2047,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-17
2048,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-17
2049,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-17
2050,45–64,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-18
2051,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-18
2052,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-14
2053,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-18
2054,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-16
2055,30–44,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-18
2056,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-18
2057,18–29,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-18
2058,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-18
2059,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-18
2060,18–29,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-19
2061,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-18
2062,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,TRANSNACIONAL,2025-03-19
2063,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-19
2064,12–17,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-19
2065,45–64,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-19
2066,18–29,m,SALA DE BELLEZA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-19
2067,30–44,m,SALA DE BELLEZA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-19
2068,45–64,m,HOSPITALES,ARMA BLANCA,VIOLENCIA COMUNITARIA,2025-03-19
2069,18–29,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-19
2070,30–44,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-19
2071,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-19
2072,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-19
2073,30–44,m,TERRENO BALDIO,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-19
2074,30–44,m,HOTELES,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-19
2075,18–29,m,FINCA,OTROS,DELINCUENCIA COMUN,2025-03-15
2076,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-18
2077,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-20
2078,18–29,m,RÍO,ARMA BLANCA,DELINCUENCIA COMUN,2025-03-15
2079,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-20
2080,12–17,m,HACIENDAS,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-20
2081,30–44,m,CANCHAS DE USO MÚLTIPLE,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-19
2082,12–17,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-20
2083,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-20
2084,12–17,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-20
2085,30–44,m,HOSPITALES,ARMA BLANCA,VIOLENCIA COMUNITARIA,2025-03-20
2086,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-20
2087,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-20
2088,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-20
2089,30–44,m,CASA/VILLA,ARMA BLANCA,DELINCUENCIA COMUN,2025-03-20
2090,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-20
2091,12–17,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-20
2092,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-20
2093,12–17,m,VÍA PÚBLICA,ARMA BLANCA,DELINCUENCIA COMUN,2025-03-21
2094,18–29,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-20
2095,30–44,m,CANCHAS DE USO MÚLTIPLE,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-20
2096,18–29,m,BARES,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-21
2097,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-20
2098,45–64,m,VÍA PÚBLICA,OTROS,DELINCUENCIA COMUN,2025-03-20
2099,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-21
2100,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-20
2101,18–29,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-20
2102,18–29,m,CENTROS DE REHABILITACIÓN SOCIAL,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-21
2103,45–64,m,FINCA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-21
2104,30–44,m,VÍA PÚBLICA,ARMA BLANCA,DELINCUENCIA COMUN,2025-03-21
2105,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-21
2106,12–17,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-20
2107,30–44,m,SERVICIOS PÚBLICOS,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-21
2108,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-20
2109,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-21
2110,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-21
2111,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-21
2112,30–44,f,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-21
2113,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-21
2114,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-22
2115,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-21
2116,18–29,f,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-22
2117,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-21
2118,18–29,m,VÍA PÚBLICA,ARMA BLANCA,DELINCUENCIA COMUN,2025-03-22
2119,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-21
2120,18–29,m,VÍA PÚBLICA,ARMA BLANCA,DELINCUENCIA COMUN,2025-03-22
2121,45–64,m,VÍA PÚBLICA,ARMA BLANCA,DELINCUENCIA COMUN,2025-03-22
2122,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-22
2123,45–64,m,MECÁNICAS,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-21
2124,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-21
2125,45–64,m,CASA/VILLA,ARMA BLANCA,DELINCUENCIA COMUN,2025-03-21
2126,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-21
2127,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-22
2128,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-22
2129,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-22
2130,12–17,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-22
2131,45–64,m,PARQUES Y PLAZAS,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-22
2132,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-22
2133,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-22
2134,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-22
2135,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-22
2136,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-23
2137,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-22
2138,18–29,f,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-23
2139,18–29,m,HACIENDAS,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-22
2140,18–29,m,HACIENDAS,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-22
2141,30–44,f,HACIENDAS,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-22
2142,18–29,f,HACIENDAS,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-22
2143,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-22
2144,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-22
2145,30–44,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-22
2146,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-22
2147,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,VIOLENCIA INTRAFAMILIAR,2025-03-23
2148,18–29,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-22
2149,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,VIOLENCIA INTRAFAMILIAR,2025-03-22
2150,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-03-23
2151,18–29,m,RÍO,ARMA CONTUNDENTE,DELINCUENCIA COMUN,2025-03-20
