,edad_rango,genero,lugar,arma,presunta_motivacion,fecha_muerte
60,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-03
61,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-03
62,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-03
63,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-03
64,18–29,m,VÍA PÚBLICA,ARMA CONTUNDENTE,DELINCUENCIA COMUN,2025-01-03
65,18–29,m,COVACHA/CHOZA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-03
66,30–44,m,COVACHA/CHOZA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-03
67,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-03
68,30–44,m,CASA/VILLA,ARMA BLANCA,DELINCUENCIA COMUN,2025-01-03
69,18–29,m,HOTELES,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-03
70,18–29,m,HOTELES,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-03
71,45–64,m,MERCADOS,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-04
72,18–29,m,HOTELES,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-03
73,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-03
74,30–44,f,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-03
75,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-04
76,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-04
77,65+,m,CASA/VILLA,ARMA CONTUNDENTE,VIOLENCIA COMUNITARIA,2025-01-01
78,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-04
79,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-04
80,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-04
81,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-04
82,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-04
83,,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-05
84,,f,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-05
85,30–44,m,BODEGAS,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-04
86,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-04
87,30–44,m,BODEGAS,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-04
88,65+,m,BODEGAS,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-04
89,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-05
90,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-05
91,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-03
92,30–44,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-04
93,30–44,f,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-05
94,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-04
95,18–29,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-04
96,18–29,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-04
97,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,VIOLENCIA COMUNITARIA,2025-01-05
98,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-04
99,18–29,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-05
100,18–29,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-05
101,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-05
102,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-05
103,18–29,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-05
104,45–64,f,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-05
105,45–64,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-05
106,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-06
107,30–44,m,CASA/VILLA,ARMA CONTUNDENTE,DELINCUENCIA COMUN,2025-01-05
